番号	問題文	正解	不正解1	不正解2	不正解3	解説	カテゴリ
1	日本でいちばん高い山は？	富士山	立山	白山	阿蘇山	標高3776メートル。静岡県と山梨県にまたがっています。	地理
2	七夕は何月何日でしょう？	7月7日	7月17日	8月7日	6月7日	笹に短冊をかざり、願いごとをします。	行事
3	「敬老の日」は何月にある祝日でしょう？	9月	5月	11月	3月	9月の第3月曜日と決められています。	行事
4	一年でいちばん昼が長い日を何という？	夏至	冬至	春分	秋分	6月21日ごろで、この日を境に昼が短くなっていきます。	季節
5	節分にまく豆は、何という豆でしょう？	大豆	小豆	そら豆	えんどう豆	いってから「福豆」としてまきます。	行事
6	お正月にかざる、松を使ったかざりは？	門松	しめなわ	鏡もち	羽子板	年神さまをむかえるための目印とされます。	行事
7	十五夜のお月見でおそなえする植物は？	すすき	たけ	まつ	うめ	稲穂に見立てて、実りを願うといわれます。	行事
8	血圧をはかるとき、上の数字を何という？	最高血圧	最低血圧	平均血圧	脈拍	心臓が縮んで血を送り出すときの血圧です。	健康
9	「桜前線」は、日本列島をどちらへ進むでしょう？	南から北	北から南	西から東	東から西	あたたかい南から順に開花していきます。	季節
10	ラジオ体操第一は、何分ぐらいでしょう？	約3分	約1分	約10分	約15分	13種類の運動で構成されています。	健康
